housing_type,address,postal_code,area_sqm,area_sqft,transaction_price,sale_date,latitude,longitude,town,flat_type,flat_model,storey_range,lease_commence_date,lease_remaining
hdb,245 HOUGANG ST 22,530245,121,1302,473000,01/05/21,1.35841118678489,103.891722006562,HOUGANG,5 ROOM,Improved,13 TO 15,1984,62 years 08 months
hdb,601B PUNGGOL CTRL,822601,70,753,405000,01/05/21,1.40214702207143,103.907831931777,PUNGGOL,3 ROOM,Model A,13 TO 15,2012,90 years 03 months
hdb,662A EDGEDALE PLAINS,821662,92,990,462000,01/05/21,1.40200448626541,103.918326393281,PUNGGOL,4 ROOM,Premium,10 TO 12,2017,95 years 01 month
hdb,664B PUNGGOL DR,822664,90,969,435000,01/05/21,1.40006476990518,103.917851536969,PUNGGOL,4 ROOM,Model A,01 TO 03,2016,94 years 02 months
hdb,310B PUNGGOL WALK,822310,92,990,520000,01/05/21,1.40932267495626,103.900801836373,PUNGGOL,4 ROOM,Premium,10 TO 12,2016,94 years 02 months
hdb,315B PUNGGOL WAY,822315,93,1001,530000,01/05/21,1.40795602683385,103.89640076791,PUNGGOL,4 ROOM,Premium,10 TO 12,2017,95 years 05 months
hdb,290C COMPASSVALE CRES,543290,90,969,380000,01/05/21,1.39701802009924,103.897534779007,SENGKANG,4 ROOM,Model A,07 TO 09,2001,79 years 07 months
hdb,410C FERNVALE RD,793410,95,1023,472000,01/05/21,1.38993920373879,103.876479595851,SENGKANG,4 ROOM,Premium,16 TO 18,2012,90 years 07 months
hdb,335C ANCHORVALE CRES,543335,112,1206,615000,01/05/21,1.39844903339852,103.888155361419,SENGKANG,5 ROOM,Premium,04 TO 06,2015,93 years 08 months
hdb,545 SERANGOON NTH AVE 3,550545,101,1087,450000,01/05/21,1.37502513517103,103.871074762159,SERANGOON,4 ROOM,Model A,01 TO 03,1997,75 years 04 months
hdb,140 LOR AH SOO,530140,131,1410,530000,01/06/21,1.35252644338437,103.883738329606,HOUGANG,5 ROOM,Model A,01 TO 03,1984,62 years 07 months
hdb,473D UPP SERANGOON CRES,538473,113,1216,660000,01/06/21,1.37667210338334,103.901954743274,HOUGANG,5 ROOM,Improved,04 TO 06,2017,95 years 01 month
hdb,315B PUNGGOL WAY,822315,68,732,380000,01/06/21,1.40795602683385,103.89640076791,PUNGGOL,3 ROOM,Premium,01 TO 03,2017,95 years 04 months
hdb,661C EDGEDALE PLAINS,823661,92,990,535000,01/06/21,1.40207158668281,103.917480013596,PUNGGOL,4 ROOM,Premium,13 TO 15,2017,95 years
hdb,633A PUNGGOL DR,821633,91,980,436000,01/06/21,1.40136967502361,103.913191563768,PUNGGOL,4 ROOM,Premium,01 TO 03,2007,85 years 07 months
hdb,174A EDGEDALE PLAINS,821174,111,1195,480000,01/06/21,1.39637824000455,103.911280777695,PUNGGOL,5 ROOM,Improved,10 TO 12,2003,81 years 05 months
hdb,174B EDGEDALE PLAINS,822174,110,1184,475000,01/06/21,1.39673187747402,103.910812912681,PUNGGOL,5 ROOM,Improved,10 TO 12,2003,81 years 06 months
hdb,273B PUNGGOL PL,822273,114,1227,620000,01/06/21,1.40196010771341,103.901778767439,PUNGGOL,5 ROOM,Premium,07 TO 09,2013,91 years 02 months
hdb,293C COMPASSVALE CRES,543293,93,1001,481000,01/06/21,1.3971032927954,103.895714685196,SENGKANG,4 ROOM,Model A,07 TO 09,2016,94 years 06 months
hdb,415B FERNVALE LINK,792415,93,1001,480000,01/06/21,1.38884403585274,103.880083476816,SENGKANG,4 ROOM,Model A,07 TO 09,2016,93 years 08 months
hdb,453B FERNVALE RD,792453,92,990,470000,01/06/21,1.39429888616931,103.875110781799,SENGKANG,4 ROOM,Model A,16 TO 18,2015,93 years 02 months
hdb,162A RIVERVALE CRES,541162,93,1001,508000,01/06/21,1.39035961258596,103.907636739734,SENGKANG,4 ROOM,Model A,16 TO 18,2017,95 years
