housing_type,project_name,address,postal_code,area_sqm,transaction_price,sale_date,latitude,longitude
private,AFFINITY AT SERANGOON,30 SERANGOON NORTH AVENUE 1 #08-70,554342,84,1434112,15/02/21,1.366295,103.8744808
private,THE QUARTZ,63 COMPASSVALE BOW #17-27,544990,119,1350000,17/02/21,1.380508,103.8932604
private,RIVERCOVE RESIDENCES,20 ANCHORVALE LANE #04-01,544584,89,1106000,18/02/21,1.392013,103.8840104
private,KOVAN MELODY,15 KOVAN ROAD #13-03,548189,113,1380000,19/02/21,1.359556,103.883027
private,OLA,82 ANCHORVALE CRESCENT #04-26,544559,98,1256112,21/02/21,1.39712,103.8922927
private,NOVELTY TECHPOINT,27 NEW INDUSTRIAL ROAD #05-01,536212,280,1798594,22/02/21,1.344042,103.8854644
private,OLA,70 ANCHORVALE CRESCENT #01-03,544599,129,1493112,23/02/21,1.397751,103.8920165
private,THE FLORENCE RESIDENCES,93 HOUGANG AVENUE 2 #14-59,538865,65,1219112,25/02/21,1.367053,103.8860761
private,TERRASSE,25 TERRASSE LANE #02-23,544776,83,990000,25/02/21,1.369014,103.8785499
private,THE FLORENCE RESIDENCES,87 HOUGANG AVENUE 2 #10-33,538862,91,1492112,26/02/21,1.366404,103.8869283
private,WATERTOWN,73 PUNGGOL CENTRAL #09-66,828756,49,732800,26/02/21,1.406476,103.9014217
private,EVERGREEN PARK,31 HOUGANG AVENUE 7 #05-09,538800,101,795000,04/03/21,1.368493,103.8991177
private,KOVAN REGENCY,6 KOVAN RISE #04-15,544736,91,1375000,08/03/21,1.363572,103.8854368
private,CRYSTAL DE AZURE,18 HOW SUN CLOSE #03-02,538645,105,1200000,09/03/21,1.343518,103.8819055
private,SUNGLADE,9 SERANGOON AVENUE 2 #03-29,556134,80,1050000,11/03/21,1.348829,103.8705332
private,THE FLORENCE RESIDENCES,93 HOUGANG AVENUE 2 #02-58,538865,65,1162112,14/03/21,1.367053,103.8860761
private,THE GARDEN RESIDENCES,1 SERANGOON NORTH VIEW #15-16,554343,53,912000,14/03/21,1.366207,103.8704053
private,HERON BAY,53 UPPER SERANGOON VIEW #02-08,534019,139,1490000,16/03/21,1.376241,103.9031754
private,AFFINITY AT SERANGOON,20 SERANGOON NORTH AVENUE 1 #05-15,554337,135,2216000,16/03/21,1.365563,103.8736419
private,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD #07-46,533867,61,965000,17/03/21,1.342165,103.8821299
private,THE GARDEN RESIDENCES,5 SERANGOON NORTH VIEW #04-25,554345,111,1894100,18/03/21,1.365696,103.8705491
private,KENSINGTON PARK,10 KENSINGTON PARK DRIVE #17-01,557324,154,1800000,19/03/21,1.367741,103.8693258
private,TWIN WATERFALLS,118 PUNGGOL WALK #16-37,828769,115,1330000,19/03/21,1.402617,103.8976985
private,BARTLEY RESIDENCES,3 LORONG HOW SUN #13-15,536560,125,1520000,22/03/21,1.343132,103.8817743
private,RIVERSOUND RESIDENCE,1 SENGKANG EAST AVENUE #05-03,544811,108,1100000,23/03/21,1.381284,103.9028776
private,OLA,80 ANCHORVALE CRESCENT #16-21,544558,160,2025888,28/03/21,1.397128,103.8925373
private,CARDIFF RESIDENCE,103 CARDIFF GROVE #05-34,558962,39,588000,30/03/21,1.354962,103.865798
private,KOVAN REGENCY,40 KOVAN RISE #11-22,544728,98,1540000,31/03/21,1.362913,103.8852417
private,THE FLORENCE RESIDENCES,83 HOUGANG AVENUE 2 #17-16,538860,87,1529000,02/04/21,1.366818,103.8870013
private,RIVERFRONT RESIDENCES,47 HOUGANG AVENUE 7 #03-42,533816,131,1800000,04/04/21,1.371403,103.8996446
private,THE BENTLY RESIDENCES@KOVAN,28 KOVAN ROAD #04-01,544694,82,1230000,06/04/21,1.357903,103.8802856
private,A TREASURE TROVE,60 PUNGGOL WALK #16-23,828780,392,2742000,06/04/21,1.405491,103.8998307
private,THE FLORENCE RESIDENCES,89 HOUGANG AVENUE 2 #03-40,538863,62,1092000,11/04/21,1.366102,103.8863638
private,SENGKANG GRAND RESIDENCES,86 COMPASSVALE BOW #06-65,544573,88,1587200,11/04/21,1.383151,103.8922958
private,BOTANIQUE AT BARTLEY,225 UPPER PAYA LEBAR ROAD #02-09,533873,99,1648000,12/04/21,1.342563,103.8827657
private,TWIN WATERFALLS,120 PUNGGOL WALK #07-41,828770,104,1150000,12/04/21,1.402764,103.8973788
private,OLA,74 ANCHORVALE CRESCENT #08-10,544601,86,1028112,14/04/21,1.397621,103.8926286
private,BOATHOUSE RESIDENCES,23 UPPER SERANGOON VIEW #02-05,534047,85,905000,15/04/21,1.376011,103.9024274
private,THE LUXURIE,25 COMPASSVALE ROAD #13-27,544756,72,918888,15/04/21,1.389714,103.8965267
